step_time,vehicle_count,queue_length_N,queue_length_S,queue_length_E,queue_length_W,queue_N,queue_S,queue_E,queue_W,avg_speed,flow_rate,time_of_day,day_of_week,current_phase,density
26.0,8,0,0,0,0,0,0,0,0,12.06744007271491,0.0022222222222222222,26.0,0,0,0.08
26.5,8,0,0,0,0,0,0,0,0,12.10147432858221,0.0022222222222222222,26.5,0,0,0.08
27.0,8,0,0,0,0,0,0,0,0,12.208794855444378,0.0022222222222222222,27.0,0,0,0.08
27.5,8,0,0,0,0,0,0,0,0,12.196517160299209,0.0022222222222222222,27.5,0,0,0.08
28.0,8,0,0,0,0,0,0,0,0,12.078720593186246,0.0022222222222222222,28.0,0,0,0.08
28.5,8,0,0,0,0,0,0,0,0,12.231315805301803,0.0022222222222222222,28.5,0,0,0.08
29.0,8,0,0,0,0,0,0,0,0,12.205333531604357,0.0022222222222222222,29.0,0,0,0.08
29.5,8,0,0,0,0,0,0,0,0,12.217167869109927,0.0022222222222222222,29.5,0,0,0.08
30.0,8,0,0,0,0,0,0,0,0,12.128473548655256,0.0022222222222222222,30.0,0,0,0.08
30.5,12,0,0,0,0,0,0,0,0,12.370677004753295,0.0033333333333333335,30.5,0,0,0.12
31.0,12,0,0,0,0,0,0,0,0,12.40612379765731,0.0033333333333333335,31.0,0,0,0.12
31.5,12,0,0,0,0,0,0,0,0,12.341465586616652,0.0033333333333333335,31.5,0,0,0.12
32.0,12,0,0,0,0,0,0,0,0,12.273345795276414,0.0033333333333333335,32.0,0,0,0.12
32.5,12,0,0,0,0,0,0,0,0,12.337392623856152,0.0033333333333333335,32.5,0,0,0.12
33.0,12,0,0,0,0,0,0,0,0,12.268942542411692,0.0033333333333333335,33.0,0,0,0.12
33.5,12,0,0,0,0,0,0,0,0,12.2847927513937,0.0033333333333333335,33.5,0,0,0.12
34.0,12,0,0,0,0,0,0,0,0,12.257726508522282,0.0033333333333333335,34.0,0,0,0.12
34.5,12,0,0,0,0,0,0,0,0,12.199399254241508,0.0033333333333333335,34.5,0,0,0.12
35.0,12,0,0,0,0,0,0,0,0,12.089875276635453,0.0033333333333333335,35.0,0,0,0.12
35.5,12,0,0,0,0,0,0,0,0,11.817206298003413,0.0033333333333333335,35.5,0,0,0.12
36.0,12,0,0,0,0,0,0,0,0,11.627649061448151,0.0033333333333333335,36.0,0,0,0.12
36.5,12,0,0,0,0,0,0,0,0,11.426178273151526,0.0033333333333333335,36.5,0,0,0.12
37.0,12,0,0,0,0,0,0,0,0,11.246647448700708,0.0033333333333333335,37.0,0,0,0.12
37.5,12,0,0,0,0,0,0,0,0,10.91219419275514,0.0033333333333333335,37.5,0,0,0.12
38.0,12,0,0,0,1,0,0,0,1,10.76824020638392,0.0033333333333333335,38.0,0,0,0.12
38.5,12,0,0,0,1,0,0,0,1,10.608274932613162,0.0033333333333333335,38.5,0,0,0.12
39.0,12,0,0,0,1,0,0,0,1,10.426645831291184,0.0033333333333333335,39.0,0,0,0.12
39.5,12,0,0,0,1,0,0,0,1,10.270373547042036,0.0033333333333333335,39.5,0,0,0.12
40.0,12,0,0,0,1,0,0,0,1,10.126726674027731,0.0033333333333333335,40.0,0,0,0.12
40.5,12,0,0,1,1,0,0,1,1,10.10140758795319,0.0033333333333333335,40.5,0,0,0.12
41.0,12,0,0,1,1,0,0,1,1,10.064918073550631,0.0033333333333333335,41.0,0,0,0.12
41.5,12,0,0,1,1,0,0,1,1,10.17627620646788,0.0033333333333333335,41.5,0,0,0.12
42.0,12,0,0,1,1,0,0,1,1,10.069367893481637,0.0033333333333333335,42.0,0,1,0.12
42.5,12,0,0,1,1,0,0,1,1,10.136726393482773,0.0033333333333333335,42.5,0,1,0.12
43.0,12,0,0,1,1,0,0,1,1,9.937226856340585,0.0033333333333333335,43.0,0,1,0.12
43.5,12,0,0,1,1,0,0,1,1,9.923580112011779,0.0033333333333333335,43.5,0,1,0.12
44.0,12,0,0,1,1,0,0,1,1,9.932234570099181,0.0033333333333333335,44.0,0,1,0.12
44.5,12,0,0,1,1,0,0,1,1,9.708244829669509,0.0033333333333333335,44.5,0,1,0.12
45.0,12,0,0,0,0,0,0,0,0,9.65627654416699,0.0033333333333333335,45.0,0,2,0.12
45.5,12,0,0,0,0,0,0,0,0,9.514109464564894,0.0033333333333333335,45.5,0,2,0.12
46.0,12,0,0,0,0,0,0,0,0,9.517562838063526,0.0033333333333333335,46.0,0,2,0.12
46.5,12,0,0,0,0,0,0,0,0,9.339672668355705,0.0033333333333333335,46.5,0,2,0.12
47.0,12,0,0,0,0,0,0,0,0,9.290817549975946,0.0033333333333333335,47.0,0,2,0.12
