controller,scenario,evp_enabled,total_steps,simulation_time_sec,wall_time_sec,avg_waiting_time,avg_queue_length,throughput,total_co2_kg,total_fuel_liters,co2_per_vehicle_g,ev_total_preemptions,ev_avg_response_time,ev_avg_delay,ev_avg_recovery_time
fixed,medium,True,7402,3701.0,31.568168878555298,10.919143474736558,1.0063496352337207,1,250.75697968241673,79847.58034070826,250756.97968241674,0,1.2,0.0,12.5
dqn,medium,True,7376,3688.0,29.098415851593018,0.016065618221258134,0.03619848156182213,1,242.3299491241032,77163.7289396555,242329.94912410318,0,1.2,0.0,12.5
fixed,emergency,True,7427,3713.5,32.41708707809448,10.378820519725327,0.9330819981149858,1,251.39037583219084,80055.61332979216,251390.37583219085,4,1.2,29.5,12.5
dqn,emergency,True,7370,3685.0,29.805444955825806,0.04457259158751696,0.041383989145183174,1,244.31037919802048,77798.26321078405,244310.3791980205,4,1.2,29.5,12.5
